"ORDER_ID","ORDER_STATUS","STATUS_TIME"
"2234876",picked,2019-06-10 09:28:50
"2237458",packed,2019-06-10 09:30:23
"2236573",in_progress,2019-06-10 09:30:38
"2234956",in_progress,2019-06-10 09:31:20
"2235780",in_progress,2019-06-10 09:33:31
"2234846",started_dispatch,2019-06-10 09:34:05
"2235781",in_progress,2019-06-10 09:34:33
"2234836",started_dispatch,2019-06-10 09:35:05
"2236582",in_progress,2019-06-10 09:39:31
"2234846",in_dispatch_buffer,2019-06-10 09:39:33
"2237403",started_dispatch,2019-06-10 09:39:34
"2234846",packed,2019-06-10 09:41:15
"2237499",in_progress,2019-06-10 09:41:31
"2234836",in_dispatch_buffer,2019-06-10 09:42:23
"2237501",in_progress,2019-06-10 09:42:28
"2237501",in_progress,2019-06-10 09:43:05
"2237403",in_dispatch_buffer,2019-06-10 09:45:46
"2234836",packed,2019-06-10 09:46:02
"2235710",started_dispatch,2019-06-10 09:46:15
"2237505",in_progress,2019-06-10 09:47:27
"2237403",packed,2019-06-10 09:47:37
"2237505",in_progress,2019-06-10 09:48:23
"2237508",in_progress,2019-06-10 09:49:28
"2237508",in_progress,2019-06-10 09:49:29
"2235790",in_progress,2019-06-10 09:49:32
"2237513",in_progress,2019-06-10 09:52:27
"2234972",in_progress,2019-06-10 09:54:27
"2236591",in_progress,2019-06-10 09:56:28
"2234761",started_dispatch,2019-06-10 09:56:33
"2234747",started_dispatch,2019-06-10 09:56:38
"2237508",in_progress,2019-06-10 10:05:10
"2234972",in_progress,2019-06-10 10:05:13
"2235807",in_progress,2019-06-10 10:05:28
"2235807",in_progress,2019-06-10 10:08:04
"2234837",started_dispatch,2019-06-10 10:09:14
"2235710",started_dispatch,2019-06-10 10:09:14
"2234917",started_dispatch,2019-06-10 10:09:19
"2235816",in_progress,2019-06-10 10:09:26
"2237508",picked,2019-06-10 10:10:44
"2237527",in_progress,2019-06-10 10:11:26
"2237508",started_dispatch,2019-06-10 10:11:44
"2237505",picked,2019-06-10 10:11:49
"2235810",in_progress,2019-06-10 10:11:54
"2235810",picked,2019-06-10 10:11:54
"2235813",in_progress,2019-06-10 10:12:26
"2236609",in_progress,2019-06-10 10:12:31
"2235813",in_progress,2019-06-10 10:12:39
"2234837",in_dispatch_buffer,2019-06-10 10:12:41
"2237501",picked,2019-06-10 10:13:35
"2236609",in_progress,2019-06-10 10:13:59
"2234980",in_progress,2019-06-10 10:15:27
"2234972",picked,2019-06-10 10:15:28
"2234980",in_progress,2019-06-10 10:16:30
"2236609",picked,2019-06-10 10:21:09
"2235813",picked,2019-06-10 10:22:14
"2236605",in_progress,2019-06-10 10:22:27
"2236620",in_progress,2019-06-10 10:33:26
"2237549",in_progress,2019-06-10 10:34:30
"2237546",in_progress,2019-06-10 10:34:33
"2236626",in_progress,2019-06-10 10:35:27
"2236609",started_dispatch,2019-06-10 10:37:51
"2235710",in_dispatch_buffer,2019-06-10 10:38:03
"2237505",started_dispatch,2019-06-10 10:38:06
"2234917",in_dispatch_buffer,2019-06-10 10:38:15
"2236629",in_progress,2019-06-10 10:38:26
"2237508",in_dispatch_buffer,2019-06-10 10:39:12
"2235813",started_dispatch,2019-06-10 10:39:16
"2235710",packed,2019-06-10 10:40:01
"2234972",started_dispatch,2019-06-10 10:40:21
"2236609",in_dispatch_buffer,2019-06-10 10:40:35
"2237501",started_dispatch,2019-06-10 10:40:51
"2234996",in_progress,2019-06-10 10:40:52
"2237505",in_dispatch_buffer,2019-06-10 10:41:00
"2236629",in_progress,2019-06-10 10:41:31
"2235840",in_progress,2019-06-10 10:43:27
"2234917",packed,2019-06-10 10:44:11
"2237508",packed,2019-06-10 10:44:50
"2236609",packed,2019-06-10 10:45:21
"2235813",in_dispatch_buffer,2019-06-10 10:45:36
"2235810",started_dispatch,2019-06-10 10:45:37
"2237505",packed,2019-06-10 10:46:04
"2234909",started_dispatch,2019-06-10 10:46:20
"2235813",packed,2019-06-10 10:47:29
"2234837",packed,2019-06-10 10:48:19
"2237501",in_dispatch_buffer,2019-06-10 10:48:22
"2235810",in_dispatch_buffer,2019-06-10 10:49:40
"2234915",started_dispatch,2019-06-10 10:49:40
"2234972",in_dispatch_buffer,2019-06-10 10:49:59
"2234996",picked,2019-06-10 10:51:23
"2238012",in_progress,2019-06-10 10:53:27
"2234972",packed,2019-06-10 10:54:23
"2234761",started_dispatch,2019-06-10 10:55:07
"2235615",in_progress,2019-06-10 10:57:58
"2234738",started_dispatch,2019-06-10 10:59:32
"2234761",in_dispatch_buffer,2019-06-10 11:00:01
"2235640",in_progress,2019-06-10 11:00:58
"2235641",in_progress,2019-06-10 11:01:13
"2234738",in_dispatch_buffer,2019-06-10 11:02:13
"2236650",in_progress,2019-06-10 11:02:26
"2234761",packed,2019-06-10 11:03:18
"2235864",in_progress,2019-06-10 11:03:27
"2234738",packed,2019-06-10 11:04:40
"2235648",in_progress,2019-06-10 11:05:45
"2237501",packed,2019-06-10 11:05:51
"2235662",in_progress,2019-06-10 11:06:14
"2235663",in_progress,2019-06-10 11:06:19
"2235695",in_progress,2019-06-10 11:06:34
"2235810",packed,2019-06-10 11:06:58
"2234996",started_dispatch,2019-06-10 11:06:59
"2234909",in_dispatch_buffer,2019-06-10 11:07:09
"2234915",in_dispatch_buffer,2019-06-10 11:07:41
"2234909",packed,2019-06-10 11:08:16
"2235615",picked,2019-06-10 11:08:25
"2234996",in_dispatch_buffer,2019-06-10 11:09:19
"2238028",in_progress,2019-06-10 11:09:26
"2238028",in_progress,2019-06-10 11:09:37
"2235703",in_progress,2019-06-10 11:10:10
"2235703",picked,2019-06-10 11:10:10
"2235725",in_progress,2019-06-10 11:10:10
"2235867",in_progress,2019-06-10 11:10:32
"2237584",in_progress,2019-06-10 11:11:29
"2234915",packed,2019-06-10 11:11:49
"2235641",picked,2019-06-10 11:12:30
"2234996",packed,2019-06-10 11:12:37
"2235867",in_progress,2019-06-10 11:13:06
"2235640",picked,2019-06-10 11:14:16
"2235768",in_progress,2019-06-10 11:14:26
"2235780",in_progress,2019-06-10 11:14:32
"2235648",picked,2019-06-10 11:14:41
"2235781",in_progress,2019-06-10 11:14:49
"2235662",picked,2019-06-10 11:15:06
"2235615",started_dispatch,2019-06-10 11:15:56
"2235663",picked,2019-06-10 11:16:03
"2235640",started_dispatch,2019-06-10 11:16:17
"2235641",started_dispatch,2019-06-10 11:17:22
